timestamp,color,disparity
1766056288.322922,color/img_26056.png,disparity/img_26056.png
1766056288.465779,color/img_26057.png,disparity/img_26057.png
1766056288.608636,color/img_26058.png,disparity/img_26058.png
1766056288.751494,color/img_26059.png,disparity/img_26059.png
1766056288.894352,color/img_26060.png,disparity/img_26060.png
1766056289.037209,color/img_26061.png,disparity/img_26061.png
1766056289.180066,color/img_26062.png,disparity/img_26062.png
1766056289.322927,color/img_26063.png,disparity/img_26063.png
1766056289.465780,color/img_26064.png,disparity/img_26064.png
1766056289.608638,color/img_26065.png,disparity/img_26065.png
1766056289.751495,color/img_26066.png,disparity/img_26066.png
1766056289.894352,color/img_26067.png,disparity/img_26067.png
1766056290.037211,color/img_26068.png,disparity/img_26068.png
1766056290.180067,color/img_26069.png,disparity/img_26069.png
1766056290.322924,color/img_26070.png,disparity/img_26070.png
1766056290.465782,color/img_26071.png,disparity/img_26071.png
1766056290.608639,color/img_26072.png,disparity/img_26072.png
1766056290.751497,color/img_26073.png,disparity/img_26073.png
1766056290.894354,color/img_26074.png,disparity/img_26074.png
1766056291.037212,color/img_26075.png,disparity/img_26075.png
1766056291.180068,color/img_26076.png,disparity/img_26076.png
1766056291.322926,color/img_26077.png,disparity/img_26077.png
1766056291.465783,color/img_26078.png,disparity/img_26078.png
1766056291.608642,color/img_26079.png,disparity/img_26079.png
1766056291.751500,color/img_26080.png,disparity/img_26080.png
1766056291.894357,color/img_26081.png,disparity/img_26081.png
1766056292.037212,color/img_26082.png,disparity/img_26082.png
1766056292.180070,color/img_26083.png,disparity/img_26083.png
1766056292.322928,color/img_26084.png,disparity/img_26084.png
1766056292.465785,color/img_26085.png,disparity/img_26085.png
1766056292.608646,color/img_26086.png,disparity/img_26086.png
1766056292.751499,color/img_26087.png,disparity/img_26087.png
1766056292.894357,color/img_26088.png,disparity/img_26088.png
1766056293.037214,color/img_26089.png,disparity/img_26089.png
1766056293.180073,color/img_26090.png,disparity/img_26090.png
1766056293.322928,color/img_26091.png,disparity/img_26091.png
1766056293.465788,color/img_26092.png,disparity/img_26092.png
1766056293.608644,color/img_26093.png,disparity/img_26093.png
1766056293.751501,color/img_26094.png,disparity/img_26094.png
1766056293.894357,color/img_26095.png,disparity/img_26095.png
1766056294.037215,color/img_26096.png,disparity/img_26096.png
1766056294.180073,color/img_26097.png,disparity/img_26097.png
1766056294.322930,color/img_26098.png,disparity/img_26098.png
1766056294.465790,color/img_26099.png,disparity/img_26099.png
1766056294.608644,color/img_26100.png,disparity/img_26100.png
1766056294.751502,color/img_26101.png,disparity/img_26101.png
1766056294.894359,color/img_26102.png,disparity/img_26102.png
1766056295.037219,color/img_26103.png,disparity/img_26103.png
1766056295.180073,color/img_26104.png,disparity/img_26104.png
1766056295.322931,color/img_26105.png,disparity/img_26105.png
1766056295.465788,color/img_26106.png,disparity/img_26106.png
1766056295.608646,color/img_26107.png,disparity/img_26107.png
1766056295.751503,color/img_26108.png,disparity/img_26108.png
1766056295.894361,color/img_26109.png,disparity/img_26109.png
1766056296.037218,color/img_26110.png,disparity/img_26110.png
1766056296.180075,color/img_26111.png,disparity/img_26111.png
1766056296.322932,color/img_26112.png,disparity/img_26112.png
1766056296.465790,color/img_26113.png,disparity/img_26113.png
1766056296.608647,color/img_26114.png,disparity/img_26114.png
1766056296.751506,color/img_26115.png,disparity/img_26115.png
1766056296.894363,color/img_26116.png,disparity/img_26116.png
1766056297.037219,color/img_26117.png,disparity/img_26117.png
1766056297.180077,color/img_26118.png,disparity/img_26118.png
1766056297.322934,color/img_26119.png,disparity/img_26119.png
1766056297.465791,color/img_26120.png,disparity/img_26120.png
1766056297.608651,color/img_26121.png,disparity/img_26121.png
1766056297.751509,color/img_26122.png,disparity/img_26122.png
1766056297.894365,color/img_26123.png,disparity/img_26123.png
1766056298.037221,color/img_26124.png,disparity/img_26124.png
1766056298.180078,color/img_26125.png,disparity/img_26125.png
1766056298.322935,color/img_26126.png,disparity/img_26126.png
1766056298.465792,color/img_26127.png,disparity/img_26127.png
1766056298.608650,color/img_26128.png,disparity/img_26128.png
1766056298.751510,color/img_26129.png,disparity/img_26129.png
1766056298.894364,color/img_26130.png,disparity/img_26130.png
1766056299.037223,color/img_26131.png,disparity/img_26131.png
1766056299.180082,color/img_26132.png,disparity/img_26132.png
1766056299.322936,color/img_26133.png,disparity/img_26133.png
1766056299.465794,color/img_26134.png,disparity/img_26134.png
1766056299.608651,color/img_26135.png,disparity/img_26135.png
1766056299.751509,color/img_26136.png,disparity/img_26136.png
1766056299.894367,color/img_26137.png,disparity/img_26137.png
1766056300.037225,color/img_26138.png,disparity/img_26138.png
1766056300.180080,color/img_26139.png,disparity/img_26139.png
1766056300.322938,color/img_26140.png,disparity/img_26140.png
